key,titles-artist-youtube_link
233,"""Look Back at It""-A Boogie wit da Hoodie-https://www.youtube.com/watch?v=DmNfT-B7nlA;""POV""-Ariana Grande-https://www.youtube.com/watch?v=nQJEp-k-ogs;""Down""-Jay Sean featuring Lil Wayne-https://www.youtube.com/watch?v=oUbpGmR1-QM;""Me & U""-Cassie-https://www.youtube.com/watch?v=zVJ5gsLeCSM;""Leave (Get Out)""-JoJo-https://www.youtube.com/watch?v=PLhphe6dC60;""Mercy""-Shawn Mendes-https://www.youtube.com/watch?v=KkGVmN68ByU;""Hey Ma""-Cam'ron featuring Juelz Santana and Freekey Zekey-https://www.youtube.com/watch?v=m60XKqEEnfg"
033,"""Happy""-Ashanti-https://www.youtube.com/watch?v=MrCsubL_OSQ;""Give Me Just One Night (Una Noche)""-98 Degrees-https://www.youtube.com/watch?v=PYb2IdrN-ns;""Look at Me!""-XXXTentacion-https://www.youtube.com/watch?v=wJGcwEv7838;""She Will""-Lil Wayne featuring Drake-https://www.youtube.com/watch?v=Fw3H8R5hHEY"
803,"""Turn My Swag On""-Soulja Boy Tell 'Em-https://www.youtube.com/watch?v=9yRme0C2pmI;""Wanksta""-50 Cent-https://www.youtube.com/watch?v=ShOQQOy5pf8"
604,"""Thank God""-Kane Brown and Katelyn Brown-https://www.youtube.com/watch?v=bLzUmfLckEw;""Don't Wanna Try""-Frankie J-https://www.youtube.com/watch?v=PfdMcC7nyvk;""Hold On, We're Going Home""-Drake featuring Majid Jordan-https://www.youtube.com/watch?v=GxgqpCdOKak;""Cold Water""-Major Lazer featuring Justin Bieber and MØ-https://www.youtube.com/watch?v=nBtDsQ4fhXY;""My Baby""-Lil' Romeo-https://www.youtube.com/watch?v=eKdBNCOJd78;""If You're Not the One""-Daniel Bedingfield-https://www.youtube.com/watch?v=j6nevGNYTkA;""Glamorous""-Fergie featuring Ludacris-https://www.youtube.com/watch?v=q0SyUgw98tE"
530,"""Hotel""-Cassidy featuring R. Kelly-https://www.youtube.com/watch?v=MKOT6teSarY;""Magic""-B.o.B featuring Rivers Cuomo-https://www.youtube.com/watch?v=4FlziHpCJFM"
735,"""Barefoot Blue Jean Night""-Jake Owen-https://www.youtube.com/watch?v=aRh-vBOS-dU;""Woah""-Lil Baby-https://www.youtube.com/watch?v=nUEqPtVGIpE;""FTCU""-Nicki Minaj-https://www.youtube.com/watch?v=zE53Otfrr0k;""Heaven""-DJ Sammy featuring Yanou and Do-https://www.youtube.com/watch?v=2em-huMyeNk"
514,"""Flashing Lights""-Kanye West featuring Dwele-https://www.youtube.com/watch?v=ila-hAUXR5U;""She Got It""-2 Pistols featuring T-Pain and Tay Dizm-https://www.youtube.com/watch?v=XDyf1D8vrHQ;""Young Dumb & Broke""-Khalid-https://www.youtube.com/watch?v=IPfJnp1guPc;""In the End""-Linkin Park-https://www.youtube.com/watch?v=eVTXPUF4Oz4;""Beautiful""-Snoop Dogg featuring Pharrell and Charlie Wilson-https://www.youtube.com/watch?v=_FE194VN6c4"
436,"""Until I Found You""-Stephen Sanchez-https://www.youtube.com/watch?v=GxldQ9eX2wo;""I Luv Your Girl""-The-Dream-https://www.youtube.com/watch?v=77E4sRtJ-b4;""Cake by the Ocean""-DNCE-https://www.youtube.com/watch?v=vWaRiD5ym74;""Pumped Up Kicks""-Foster the People-https://www.youtube.com/watch?v=SDTZ7iX4vTQ;""Oops!... I Did It Again""-Britney Spears-https://www.youtube.com/watch?v=CduA0TULnow"
031,"""Shake Ya Tailfeather""-Nelly, P. Diddy and Murphy Lee-https://www.youtube.com/watch?v=bG7DBO0k5lA;""Too Good at Goodbyes""-Sam Smith-https://www.youtube.com/watch?v=J_ub7Etch2U;""Be Without You""-Mary J. Blige-https://www.youtube.com/watch?v=8XNaPX6MKlU;""Jesus Walks""-Kanye West-https://www.youtube.com/watch?v=MYF7H_fpc-g;""Into You""-Fabolous featuring Tamia-https://www.youtube.com/watch?v=WY85QiFbfdY;""Ordinary People""-John Legend-https://www.youtube.com/watch?v=PIh07c_P4hc;""Sober""-Pink-https://www.youtube.com/watch?v=nJ3ZM8FDBlg;""Right Round""-Flo Rida-https://www.youtube.com/watch?v=CcCw1ggftuQ"
211,"""Club Can't Handle Me""-Flo Rida featuring David Guetta-https://www.youtube.com/watch?v=SgM3r8xKfGE;""World on Fire""-Nate Smith-https://www.youtube.com/watch?v=U1gT0P4Zp2U;""Rock Yo Hips""-Crime Mob and Lil' Scrappy-https://www.youtube.com/watch?v=TIXU2Nlo-Rs;""Gossip Folks""-Missy Elliott featuring Ludacris-https://www.youtube.com/watch?v=kYKI8tAELXY;""Good Time""-Niko Moon-https://www.youtube.com/watch?v=mKnQXaIlrMo"
